timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619622015318.0,-37203.8515625,27482.318359375,9458.0732421875,-38342.44921875,-24760.546875,8969.375,29018.822265625,-42785.93359375,0.0
1619622015318.0,-37199.96484375,27475.14453125,9414.6220703125,-38338.8984375,-24775.634765625,8971.0517578125,29002.125,-42781.0390625,0.0
1619622015326.0,-37195.06640625,27444.56640625,9282.724609375,-38332.390625,-24794.8125,8968.8388671875,28884.845703125,-42775.80859375,0.0
1619622015330.0,-37192.38671875,27446.310546875,9316.318359375,-38339.96875,-24788.107421875,8961.865234375,28892.15625,-42784.79296875,0.0
1619622015330.0,-37190.9765625,27474.943359375,9436.146484375,-38358.87890625,-24776.640625,8955.494140625,28992.537109375,-42803.3671875,0.0
1619622015334.0,-37186.015625,27474.943359375,9410.330078125,-38357.5390625,-24781.333984375,8964.0107421875,29004.607421875,-42801.01953125,0.0
1619622015342.0,-37173.87890625,27451.47265625,9281.71875,-38334.73828125,-24786.228515625,8982.31640625,28907.779296875,-42778.2890625,0.0
1619622015346.0,-37172.671875,27454.9609375,9292.3798828125,-38332.05859375,-24777.84765625,8986.943359375,28895.5078125,-42775.203125,0.0
1619622015346.0,-37181.0546875,27487.013671875,9427.294921875,-38333.734375,-24757.1953125,8987.0107421875,29006.1484375,-42779.49609375,0.0
1619622015354.0,-37190.9765625,27492.779296875,9438.0244140625,-38335.41015625,-24763.095703125,8982.9873046875,29040.4140625,-42780.703125,0.0
1619622015358.0,-37202.109375,27458.447265625,9286.3447265625,-38335.41015625,-24788.912109375,8982.451171875,28920.720703125,-42777.88671875,0.0
1619622015358.0,-37203.515625,27440.677734375,9259.0537109375,-38339.56640625,-24785.693359375,8982.517578125,28879.4140625,-42780.3671875,0.0
1619622015362.0,-37208.34375,27465.755859375,9387.3974609375,-38347.8828125,-24765.912109375,8979.701171875,28974.701171875,-42788.48046875,0.0
1619622015370.0,-37220.28125,27481.111328125,9437.8896484375,-38352.84375,-24767.7890625,8974.4716796875,29031.8984375,-42792.7734375,0.0
1619622015374.0,-37221.28515625,27443.76171875,9294.7939453125,-38353.1796875,-24800.310546875,8965.0166015625,28919.849609375,-42796.05859375,0.0
1619622015374.0,-37222.6953125,27423.310546875,9245.44140625,-38357.5390625,-24806.681640625,8955.494140625,28857.62109375,-42800.41796875,0.0
1619622015382.0,-37224.90625,27437.927734375,9354.607421875,-38367.1953125,-24784.28515625,8951.404296875,28940.904296875,-42809.1328125,0.0
1619622015386.0,-37219.74609375,27469.244140625,9437.353515625,-38362.56640625,-24766.380859375,8952.4775390625,29030.625,-42806.453125,0.0
1619622015386.0,-37224.03515625,27441.28125,9316.85546875,-38357.0,-24787.837890625,8947.4482421875,28938.892578125,-42804.5078125,0.0
1619622015390.0,-37227.12109375,27406.61328125,9232.6337890625,-38363.1015625,-24802.92578125,8941.078125,28847.83203125,-42811.546875,0.0
1619622015398.0,-37213.2421875,27433.5703125,9342.939453125,-38364.7109375,-24781.400390625,8948.38671875,28922.666015625,-42810.33984375,0.0
1619622015402.0,-37204.0546875,27474.7421875,9465.78515625,-38359.88671875,-24755.384765625,8956.43359375,29035.1171875,-42802.62890625,0.0
1619622015402.0,-37204.859375,27453.484375,9362.720703125,-38357.5390625,-24776.037109375,8954.287109375,28966.85546875,-42798.80859375,0.0
1619622015410.0,-37203.25,27421.96875,9251.4765625,-38350.296875,-24786.69921875,8958.7802734375,28866.33984375,-42794.1796875,0.0
1619622015414.0,-37209.8203125,27431.625,9326.9130859375,-38361.09375,-24777.712890625,8953.3486328125,28909.92578125,-42806.05078125,0.0
1619622015414.0,-37220.4140625,27467.365234375,9443.9248046875,-38367.86328125,-24765.912109375,8951.1357421875,29012.51953125,-42816.578125,0.0
1619622015422.0,-37217.8671875,27463.9453125,9376.802734375,-38356.0625,-24773.35546875,8958.4453125,28980.466796875,-42804.84375,0.0
1619622015426.0,-37210.08984375,27436.38671875,9254.359375,-38347.27734375,-24785.357421875,8960.0546875,28870.4296875,-42796.2578125,0.0
1619622015430.0,-37202.98046875,27443.025390625,9303.310546875,-38349.08984375,-24777.982421875,8962.736328125,28894.703125,-42799.9453125,0.0
1619622015430.0,-37202.37890625,27474.0703125,9429.5751953125,-38356.80078125,-24764.771484375,8959.115234375,29014.0625,-42810.4765625,0.0
1619622015438.0,-37207.33984375,27467.96875,9376.0654296875,-38359.08203125,-24776.9765625,8951.7392578125,28996.896484375,-42812.48828125,0.0
1619622015442.0,-37208.078125,27429.412109375,9227.3369140625,-38351.30078125,-24794.0078125,8952.41015625,28876.732421875,-42803.30078125,0.0
1619622015442.0,-37202.98046875,27430.41796875,9247.1181640625,-38350.96484375,-24784.8203125,8951.9404296875,28877.73828125,-42803.09765625,0.0
1619622015450.0,-37211.36328125,27457.5078125,9373.6513671875,-38361.89453125,-24762.357421875,8951.806640625,28991.330078125,-42810.33984375,0.0
1619622015454.0,-37210.89453125,27467.232421875,9377.8759765625,-38356.53125,-24763.4296875,8960.255859375,29018.287109375,-42806.98828125,0.0
1619622015458.0,-37206.46875,27441.951171875,9242.22265625,-38344.6640625,-24788.912109375,8962.87109375,28906.3046875,-42799.4765625,0.0
